Zone Code,Zone Name,people,households,rent,%rent
31UHGB,Ashby Holywell,4420,59,1907,43.14479638
31UHGC,Ashby Ivanhoe,4526,75,1853,40.94122846
23UGGE,Ashchurch with Walton Cardiff,2255,28,899,39.86696231
22UQGJ,Ashdon,1601,43,619,38.66333542
21UDFS,Ashdown,5158,51,2048,39.70531214
11UCGL,Asheridge Vale and Lowndes,4495,58,1715,38.15350389
00MWPC,Ashey,3026,32,1223,40.41639128
43UHFS,Ashford Common,7671,43,3290,42.88880198
43UHFT,Ashford East,6958,53,2912,41.85110664
43UHFU,Ashford North and Stanwell South,7553,40,2955,39.12352708
43UHFW,Ashford Town,6772,59,2697,39.8257531
22ULGA,Ashingdon and Canewdon,4208,27,1597,37.95152091
00HBNM,Ashley,11168,96,5014,44.89613181
26UGFX,Ashley,7030,87,2803,39.87197724
